method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s_a,sample_elapsed_s_b,total_elapsed_s,tts_s,success,tts_hit_s,mts_t_hit_s,target_e,bestE_sample,q10,q50,q90,K,seed_bestE,mts_bestE,mts_elapsed_s,mts_outer_iters,tau_dcqo_s,fast_outlier
DCQO,36,1611846,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9934060780014988,2.6977936680013954,2.709332018999703,2.709332018999703,1,2.709310017002281,0.011516349000885384,24,32.0,52.0,136.0,324.0,16,32,24,0.011538350998307578,2,2.0067643902000416,0
DAQO,37,1611863,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7417635769998014,0.9788094030009233,0.9935203890017874,0.9935203890017874,1,0.9934992590024194,0.014689856001496082,24,48.0,76.0,128.0,308.0,16,48,24,0.014710986000864068,2,2.0067643902000416,1
DCQO,37,1611863,16,10,0.05,0.5,0.05,0.1,1.0,100,2.000876481999512,2.7342387909993704,2.7689707949994045,2.7689707949994045,1,2.768954038998345,0.03471524799897452,24,28.0,48.0,128.0,416.0,16,28,24,0.03473200400003407,5,2.0067643902000416,0
DAQO,38,1611880,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7364333379991876,0.9733080019996123,0.9873763229988981,0.9873763229988981,1,0.9873486749984295,0.014040672998817172,24,36.0,60.0,124.0,252.0,16,36,24,0.014068320999285788,2,2.0067643902000416,1
DCQO,38,1611880,16,10,0.05,0.5,0.05,0.1,1.0,100,1.994648492000124,2.6516470660008054,2.6540570730012405,2.6540570730012405,1,2.6516470660008054,0.0,24,24.0,52.0,132.0,432.0,16,24,24,0.0024100070004351437,1,2.0067643902000416,0
DAQO,39,1611897,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7373725599991303,0.9937726879998081,1.0059208849997958,1.0059208849997958,1,1.0059013059999415,0.012128618000133429,24,44.0,68.0,128.0,280.0,16,44,24,0.012148196999987704,2,2.0067643902000416,1
DCQO,39,1611897,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9832287350000115,2.63595599799919,2.6387117759986722,2.6387117759986722,1,2.63595599799919,0.0,24,24.0,52.0,144.0,420.0,16,24,24,0.002755777999482234,1,2.0067643902000416,0
DAQO,40,1611914,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7366811349984346,0.9663189349994354,0.9765647929998522,0.9765647929998522,1,0.9765382599998702,0.010219325000434765,24,32.0,52.0,128.0,344.0,16,32,24,0.010245858000416774,2,2.0067643902000416,1
DCQO,40,1611914,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9914933130003192,2.666234495000026,2.6797249720002583,2.6797249720002583,1,2.679704655000023,0.013470159999997122,24,32.0,44.0,160.0,408.0,16,32,24,0.013490477000232204,2,2.0067643902000416,0
DAQO,41,1611931,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7421929590000218,0.9773834450006689,0.9963976540002477,0.9963976540002477,1,0.996382427001663,0.018998982000994147,24,36.0,64.0,132.0,256.0,16,36,24,0.01901420899957884,3,2.0067643902000416,1
DCQO,41,1611931,16,10,0.05,0.5,0.05,0.1,1.0,100,2.0088122649995057,2.6845769609990384,2.7243918269978167,2.7243918269978167,1,2.724374301998978,0.03979734099993948,24,32.0,52.0,168.0,560.0,16,32,24,0.03981486599877826,5,2.0067643902000416,0
DAQO,42,1611948,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7363628809998772,1.011204265001652,1.0274249350004538,1.0274249350004538,1,1.0274094460019114,0.016205181000259472,24,40.0,72.0,132.0,276.0,16,40,24,0.016220669998801895,3,2.0067643902000416,1
DCQO,42,1611948,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9921170019988494,2.780959530999098,2.7837463049982034,2.7837463049982034,1,2.780959530999098,0.0,24,24.0,48.0,152.0,384.0,16,24,24,0.0027867739991052076,1,2.0067643902000416,0
DAQO,43,1611965,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7432157270013704,0.9885814450008183,0.9976846630015643,0.9976846630015643,1,0.9976660250013083,0.00908458000048995,24,48.0,72.0,128.0,288.0,16,36,24,0.009103218000745983,2,2.0067643902000416,1
DCQO,43,1611965,16,10,0.05,0.5,0.05,0.1,1.0,100,1.98964469099883,2.645835535000515,2.6556477160011127,2.6556477160011127,1,2.655629783999757,0.009794248999241972,24,32.0,44.0,128.0,428.0,16,32,24,0.009812181000597775,2,2.0067643902000416,0
DAQO,44,1611982,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7377418840005703,0.9705056750008225,0.9917877910011157,0.9917877910011157,1,0.991767270001219,0.021261595000396483,24,44.0,68.0,112.0,272.0,16,44,24,0.021282116000293172,3,2.0067643902000416,1
DCQO,44,1611982,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9772058089984057,2.7484960540004977,2.7713439040016965,2.7713439040016965,1,2.7713240699995367,0.022828015999039053,24,36.0,44.0,128.0,372.0,16,36,24,0.02284785000119882,3,2.0067643902000416,0
DAQO,45,1611999,16,10,0.05,0.5,0.05,0.0,1.0,100,0.74573775799945,0.9879274730010366,1.0219069150007272,1.0219069150007272,1,1.0218784540011256,0.03395098100008909,24,40.0,72.0,132.0,224.0,16,40,24,0.03397944199969061,5,2.0067643902000416,1
DCQO,45,1611999,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9901046819995827,2.669657352998911,2.74508013599916,2.74508013599916,1,2.7450628699989466,0.07540551700003562,24,36.0,48.0,144.0,408.0,16,36,24,0.07542278300024918,7,2.0067643902000416,0
DAQO,46,1612016,16,10,0.05,0.5,0.05,0.0,1.0,100,0.736636379000629,1.0099661249987548,1.029418933998386,1.029418933998386,1,1.0293996479995258,0.019433523000770947,24,36.0,72.0,144.0,264.0,16,36,24,0.019452808999631088,3,2.0067643902000416,1
DCQO,46,1612016,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9903062989997125,2.6644842280002194,2.685363967999365,2.685363967999365,1,2.6853473510000185,0.02086312299979909,24,32.0,48.0,144.0,480.0,16,32,24,0.020879739999145386,3,2.0067643902000416,0
DAQO,47,1612033,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7368401359999552,0.9680766089986719,0.9708529459985584,0.9708529459985584,1,0.9680766089986719,0.0,24,24.0,52.0,124.0,288.0,16,24,24,0.002776336999886553,1,2.0067643902000416,1
DCQO,47,1612033,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9804196959994442,2.7164397800006554,2.736983228001918,2.736983228001918,1,2.7369662810015143,0.020526501000858843,24,32.0,44.0,156.0,416.0,16,32,24,0.020543448001262732,3,2.0067643902000416,0
