method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s,shots_per_s,unique,bestE_sample,q10,q50,q90,status,error
DCQO,56,2012186,20,10,0.05,0.5,0.05,0.1,1.0,100,5.418758890999015,18.4544103200657,100.0,54.0,82.0,278.0,666.0,ok,
RANDOM,56,2012186,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002873906001696014,34795.84925219745,nan,66.0,98.0,166.0,326.0,ok,
DAQO,57,2012203,20,10,0.05,0.5,0.05,0.0,1.0,100,2.21814995800014,45.08261474357618,100.0,98.0,118.0,238.0,542.0,ok,
DCQO,57,2012203,20,10,0.05,0.5,0.05,0.1,1.0,100,5.416830641999695,18.46097960394857,100.0,34.0,94.0,310.0,750.0,ok,
RANDOM,57,2012203,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028490310014603892,35099.65316233514,nan,50.0,106.0,162.0,246.0,ok,
DAQO,58,2012220,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1913742549986637,45.63346483235059,100.0,70.0,126.0,202.0,522.0,ok,
DCQO,58,2012220,20,10,0.05,0.5,0.05,0.1,1.0,100,5.420766219000143,18.44757658972516,100.0,66.0,98.0,290.0,630.0,ok,
RANDOM,58,2012220,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028715010012092534,34824.9922106549,nan,78.0,102.0,174.0,266.0,ok,
DAQO,59,2012237,20,10,0.05,0.5,0.05,0.0,1.0,100,2.198584966999988,45.48380049029988,100.0,94.0,126.0,214.0,402.0,ok,
DCQO,59,2012237,20,10,0.05,0.5,0.05,0.1,1.0,100,5.40784567800074,18.49165193577965,100.0,46.0,86.0,238.0,618.0,ok,
RANDOM,59,2012237,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0029033549999439856,34442.91173553675,nan,42.0,94.0,170.0,302.0,ok,
DAQO,60,2012254,20,10,0.05,0.5,0.05,0.0,1.0,100,2.199608918001104,45.46262709776384,100.0,74.0,102.0,198.0,382.0,ok,
DCQO,60,2012254,20,10,0.05,0.5,0.05,0.1,1.0,100,5.404555588998846,18.50290895398566,100.0,34.0,82.0,306.0,690.0,ok,
RANDOM,60,2012254,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002896538000641158,34523.973094040084,nan,74.0,102.0,178.0,294.0,ok,
DAQO,61,2012271,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1884809080002015,45.69379592686435,100.0,82.0,122.0,214.0,410.0,ok,
DCQO,61,2012271,20,10,0.05,0.5,0.05,0.1,1.0,100,5.421017388000109,18.446721868363426,100.0,34.0,114.0,258.0,634.0,ok,
RANDOM,61,2012271,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028666270009125583,34884.20361915454,nan,62.0,106.0,170.0,278.0,ok,
DAQO,62,2012288,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1772136489998957,45.93026506421869,100.0,74.0,102.0,202.0,506.0,ok,
DCQO,62,2012288,20,10,0.05,0.5,0.05,0.1,1.0,100,5.419398332000128,18.452232863106996,99.0,42.0,98.0,326.0,690.0,ok,
RANDOM,62,2012288,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002954169000076945,33850.46691553373,nan,78.0,102.0,182.0,302.0,ok,
DAQO,63,2012305,20,10,0.05,0.5,0.05,0.0,1.0,100,2.2033732639993104,45.38495661805911,100.0,94.0,126.0,238.0,510.0,ok,
DCQO,63,2012305,20,10,0.05,0.5,0.05,0.1,1.0,100,5.404678066999622,18.502489650695228,100.0,62.0,106.0,318.0,702.0,ok,
RANDOM,63,2012305,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028546899993671104,35030.07332570968,nan,74.0,106.0,178.0,298.0,ok,
DAQO,64,2012322,20,10,0.05,0.5,0.05,0.0,1.0,100,2.196601069999815,45.524879945546246,100.0,82.0,118.0,210.0,442.0,ok,
DCQO,64,2012322,20,10,0.05,0.5,0.05,0.1,1.0,100,5.418096774999867,18.45666553270497,100.0,50.0,90.0,306.0,910.0,ok,
RANDOM,64,2012322,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002916366000135895,34289.24901584378,nan,82.0,98.0,174.0,306.0,ok,
DAQO,65,2012339,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1955304439998145,45.54707964687574,100.0,90.0,118.0,206.0,422.0,ok,
DCQO,65,2012339,20,10,0.05,0.5,0.05,0.1,1.0,100,5.4345285039999,18.400860337083227,99.0,46.0,86.0,334.0,870.0,ok,
RANDOM,65,2012339,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028832460011471994,34683.13142902532,nan,54.0,102.0,178.0,270.0,ok,
DAQO,66,2012356,20,10,0.05,0.5,0.05,0.0,1.0,100,2.2267103510002926,44.90929857809192,100.0,90.0,110.0,206.0,374.0,ok,
DCQO,66,2012356,20,10,0.05,0.5,0.05,0.1,1.0,100,5.416617197999585,18.461707066345962,100.0,34.0,102.0,334.0,734.0,ok,
RANDOM,66,2012356,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002873429999453947,34801.613409410886,nan,78.0,102.0,166.0,298.0,ok,
DAQO,67,2012373,20,10,0.05,0.5,0.05,0.0,1.0,100,2.2132147699994675,45.18314325185172,100.0,82.0,118.0,198.0,446.0,ok,
DCQO,67,2012373,20,10,0.05,0.5,0.05,0.1,1.0,100,5.411417231998712,18.479447381858026,100.0,66.0,126.0,302.0,698.0,ok,
RANDOM,67,2012373,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028675070007011527,34873.498120684046,nan,62.0,102.0,174.0,298.0,ok,
DAQO,68,2012390,20,10,0.05,0.5,0.05,0.0,1.0,100,2.191964880999876,45.621168873100046,100.0,82.0,110.0,214.0,418.0,ok,
DCQO,68,2012390,20,10,0.05,0.5,0.05,0.1,1.0,100,5.425944430000527,18.429971277827903,100.0,58.0,90.0,326.0,610.0,ok,
RANDOM,68,2012390,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0028710149999824353,34830.88733448338,nan,70.0,94.0,166.0,262.0,ok,
DAQO,69,2012407,20,10,0.05,0.5,0.05,0.0,1.0,100,2.19623378399956,45.532493274868976,100.0,82.0,114.0,198.0,402.0,ok,
DCQO,69,2012407,20,10,0.05,0.5,0.05,0.1,1.0,100,5.416513386999213,18.462060896963962,100.0,70.0,110.0,278.0,610.0,ok,
RANDOM,69,2012407,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002871864999178797,34820.57827530011,nan,54.0,102.0,170.0,290.0,ok,
DAQO,70,2012424,20,10,0.05,0.5,0.05,0.0,1.0,100,2.1970200539999496,45.516198096570626,100.0,66.0,122.0,214.0,390.0,ok,
DCQO,70,2012424,20,10,0.05,0.5,0.05,0.1,1.0,100,5.4117987919998995,18.478144484570826,100.0,58.0,78.0,282.0,702.0,ok,
RANDOM,70,2012424,20,10,0.05,0.5,0.05,0.0,1.0,100,0.002878796000004513,34736.74411102531,nan,70.0,106.0,170.0,286.0,ok,
DAQO,71,2012441,20,10,0.05,0.5,0.05,0.0,1.0,100,2.2046503929996106,45.358665626771625,100.0,54.0,110.0,218.0,426.0,ok,
DCQO,71,2012441,20,10,0.05,0.5,0.05,0.1,1.0,100,5.402859753001394,18.50871660039816,100.0,58.0,114.0,310.0,658.0,ok,
RANDOM,71,2012441,20,10,0.05,0.5,0.05,0.0,1.0,100,0.003045990999453352,32830.03791473661,nan,54.0,106.0,170.0,262.0,ok,
DAQO,72,2012458,20,10,0.05,0.5,0.05,0.0,1.0,100,2.188300633999461,45.69756021924392,100.0,74.0,126.0,226.0,378.0,ok,
DCQO,72,2012458,20,10,0.05,0.5,0.05,0.1,1.0,100,5.396263836999424,18.53134001980242,98.0,46.0,90.0,298.0,646.0,ok,
RANDOM,72,2012458,20,10,0.05,0.5,0.05,0.0,1.0,100,0.0029213249999884283,34231.04242095492,nan,82.0,102.0,178.0,298.0,ok,
DAQO,73,2012475,20,10,0.05,0.5,0.05,0.0,1.0,100,2.193170268999893,45.59609502895595,100.0,82.0,126.0,230.0,498.0,ok,
