method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s,shots_per_s,unique,bestE_sample,q10,q50,q90,status,error
DAQO,40,2011914,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.66263714300112,450.272157347095,2994.0,50.0,118.0,214.0,438.0,ok,
DCQO,40,2011914,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,40,2011914,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003283330999693135,913706.2331761204,nan,42.0,102.0,170.0,310.0,ok,
DAQO,41,2011931,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.632390733000648,452.3255822478858,2993.0,54.0,122.0,218.0,446.0,ok,
DCQO,41,2011931,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,41,2011931,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003301471999293426,908685.5804447391,nan,50.0,102.0,166.0,298.0,ok,
DAQO,42,2011948,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.630535182999665,452.4521652025674,2992.0,46.0,118.0,214.0,454.0,ok,
DCQO,42,2011948,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,42,2011948,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0033386270006303675,898572.9760867473,nan,50.0,102.0,174.0,294.0,ok,
DAQO,43,2011965,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.681954026000312,448.9704640778173,2990.0,50.0,122.0,218.0,450.0,ok,
DCQO,43,2011965,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,43,2011965,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0032477000004291767,923730.6400232646,nan,54.0,102.0,170.0,302.0,ok,
DAQO,44,2011982,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.656657816000006,450.6766132381285,2993.0,54.0,122.0,218.0,442.0,ok,
DCQO,44,2011982,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,44,2011982,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003666647000500234,818186.2065234847,nan,42.0,102.0,170.0,298.0,ok,
DAQO,45,2011999,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.652126948998557,450.98357608037446,2992.0,54.0,122.0,214.0,438.0,ok,
DCQO,45,2011999,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,45,2011999,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003413666998312692,878820.3423130729,nan,46.0,102.0,170.0,290.0,ok,
DAQO,46,2012016,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.64767918600046,451.2853156809653,2989.0,42.0,122.0,218.0,442.0,ok,
DCQO,46,2012016,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,46,2012016,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003310031001092284,906335.9222345724,nan,34.0,102.0,170.0,294.0,ok,
DAQO,47,2012033,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.634185000000798,452.20324727146425,2994.0,46.0,118.0,214.0,442.0,ok,
DCQO,47,2012033,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,47,2012033,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0032923500002652872,911203.2438101263,nan,50.0,102.0,166.0,290.0,ok,
DAQO,48,2012050,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.649121880000166,451.18739799666974,2990.0,54.0,122.0,214.0,442.0,ok,
DCQO,48,2012050,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,48,2012050,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0033916000011231517,884538.2707296053,nan,54.0,102.0,170.0,298.0,ok,
DAQO,49,2012067,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.626164384999356,452.75061493970037,2993.0,54.0,122.0,214.0,438.0,ok,
DCQO,49,2012067,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,49,2012067,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0032346780008083442,927449.3471221252,nan,42.0,102.0,166.0,290.0,ok,
DAQO,0,2211234,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.511560909999389,285.4000491160332,2998.0,71.0,151.0,271.0,535.0,ok,
DCQO,0,2211234,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,0,2211234,22,10,0.05,0.5,0.05,0.0,1.0,3000,0.0034654209994187113,865695.6832959745,nan,63.0,127.0,207.0,367.0,ok,
DAQO,1,2211251,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.378857953999614,289.04914329653343,2999.0,71.0,151.0,271.0,535.0,ok,
DCQO,1,2211251,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,1,2211251,22,10,0.05,0.5,0.05,0.0,1.0,3000,0.003474778000963852,863364.5082269557,nan,63.0,127.0,207.0,351.0,ok,
DAQO,2,2211268,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.387240230000316,288.8158869509374,2998.0,71.0,151.0,271.0,543.0,ok,
DCQO,2,2211268,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,2,2211268,22,10,0.05,0.5,0.05,0.0,1.0,3000,0.0035260849999758648,850801.9517455008,nan,55.0,127.0,207.0,351.0,ok,
DAQO,3,2211285,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.383912495000914,288.90844384949105,2997.0,55.0,151.0,271.0,559.0,ok,
DCQO,3,2211285,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,3,2211285,22,10,0.05,0.5,0.05,0.0,1.0,3000,0.0034145689987781225,878588.1910933787,nan,63.0,127.0,207.0,367.0,ok,
DAQO,4,2211302,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.324803552000958,290.56242909518573,3000.0,63.0,159.0,279.0,559.0,ok,
DCQO,4,2211302,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,4,2211302,22,10,0.05,0.5,0.05,0.0,1.0,3000,0.0034000609994109254,882337.111163524,nan,63.0,127.0,207.0,359.0,ok,
DAQO,5,2211319,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.343315215000985,290.04240300528386,2999.0,71.0,159.0,271.0,543.0,ok,
DCQO,5,2211319,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,5,2211319,22,10,0.05,0.5,0.05,0.0,1.0,3000,0.0034314479999011382,874266.4904397302,nan,55.0,127.0,207.0,351.0,ok,
DAQO,6,2211336,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.358861665999939,289.6071109672851,2998.0,71.0,151.0,271.0,551.0,ok,
DCQO,6,2211336,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,6,2211336,22,10,0.05,0.5,0.05,0.0,1.0,3000,0.0033662280002317857,891205.2302438905,nan,47.0,127.0,207.0,343.0,ok,
DAQO,7,2211353,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.370170862001032,289.2912797601793,2999.0,55.0,151.0,271.0,543.0,ok,
DCQO,7,2211353,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,7,2211353,22,10,0.05,0.5,0.05,0.0,1.0,3000,0.003518892001011409,852541.0837097963,nan,63.0,127.0,207.0,343.0,ok,
DAQO,8,2211370,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.380498452999745,289.00346294383036,2999.0,71.0,159.0,279.0,551.0,ok,
DCQO,8,2211370,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,8,2211370,22,10,0.05,0.5,0.05,0.0,1.0,3000,0.003428099000302609,875120.5842465986,nan,55.0,127.0,207.0,367.0,ok,
DAQO,9,2211387,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.373590658999092,289.1959109064612,2998.0,71.0,159.0,271.0,559.0,ok,
DCQO,9,2211387,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,9,2211387,22,10,0.05,0.5,0.05,0.0,1.0,3000,0.003648344998509856,822290.6554137099,nan,71.0,127.0,207.0,359.0,ok,
DAQO,10,2211404,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.339043121999566,290.16224853696144,2994.0,63.0,159.0,271.0,559.0,ok,
DCQO,10,2211404,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,10,2211404,22,10,0.05,0.5,0.05,0.0,1.0,3000,0.0035200719994463725,852255.2949121018,nan,47.0,127.0,207.0,343.0,ok,
DAQO,11,2211421,22,10,0.05,0.5,0.05,0.0,1.0,3000,10.365280467998673,289.4277689120012,2998.0,71.0,151.0,263.0,519.0,ok,
DCQO,11,2211421,22,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
